V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
"September 29, 2020","September 29, 2020","September 29, 2020","September 29, 2020","September 29, 2020","September 29, 2020","September 29, 2020","September 29, 2020","September 29, 2020","October 29, 2021"
2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Income,Income,Income,Income,Income,Income,Income,Income,Income,Income
68933,70075,71169,72482,73851,75784,78787,80711,83076,86644
37083,38504,38670,39994,39808,39859,44708,42564,43535,48170
 80908, 82980, 87083, 85685, 86654, 90825, 95297, 96133, 97051,100916
38186,38478,39077,41988,41895,43192,46604,46762,50501,49780
62300,62309,62413,64624,67766,68317,72305,73309,75836,76972
 86536, 88406, 87215, 91993, 92446, 98937, 97188,100000,106270,111056
55480,50809,48772,46015,49573,51294,49616,56338,56627,60143
 80291, 82553, 79304, 82073, 84500, 84506, 89529, 92890, 95956,101810
61506,61191,62443,64880,62198,68972,70504,72259,72739,75307
 83078, 88575, 89203, 87577, 86703, 87941, 93947, 94478, 92616,102510
39630,41936,41931,42542,42279,44664,44491,47011,48682,48709
 80216, 77872, 80427, 83489, 83698, 83746, 89541, 91727, 95196,102951
43637,41829,41515,44404,47441,46469,46710,46899,49147,59253
71848,77095,76220,77453,79403,77992,83595,80922,87959,91492
100992, 99040,108234,108503,106871,110224,119386,111576,116719,121329
49017,49795,49969,55695,53288,52274,54210,57760,55514,65615
 88559, 92288, 94365, 97873, 97279, 98314, 99604,102944,107758,110012
69524,70114,69258,71682,71904,76366,78680,80858,82445,85357
 78503, 75158, 79012, 80143, 80650, 83914, 79966, 90696, 93751,101350
38134,35426,34454,36106,38376,38692,38546,40320,42098,38731
81559,80943,85478,78274,84686,83148,80049,82433,89964,89123
56806,55145,61529,57525,54836,62018,62264,70620,64245,75714
51610,52028,52604,55643,54606,55270,54643,59828,62556,59785
47702,45788,50204,47536,51927,52153,50015,52341,54313,54351
55492,48472,55875,52276,55691,53366,53509,61405,59266,65821
